case,config_path,status,original_sha256
TfCut1_L4,01_simulation/configurations/cases/TfCut1_L4.yaml,current_source_fallback_not_historical_copy,e689bca846b766a6ab496775180fd9f4ff82365c1831177861a2a9bc39e9fe6e
TfCut1_L10,01_simulation/configurations/cases/TfCut1_L10.yaml,current_source_fallback_not_historical_copy,c294e516c48fc2678ca1a594e33d3bb7cb6b6aa0fbc5e0f0dd0535c71e63695a
TfCut1_L20,01_simulation/configurations/cases/TfCut1_L20.yaml,current_source_fallback_not_historical_copy,9204e223b924a774b1722c2b35e675b71c252729d566888c9cb46140cc1bfc3d
LCC_L4,01_simulation/configurations/cases/LCC_L4.yaml,deployed_run_copy,a0ec906be17a0cc6f7e7adf635e640ccc449c2311512ba6962d7072e363adc6c
LCC_L10,01_simulation/configurations/cases/LCC_L10.yaml,deployed_run_copy,98b021f36ee8020888dd2ff74c06045cea4dcfa3cedfeb1d2a76b493db5ee2c4
LCC_L20,01_simulation/configurations/cases/LCC_L20.yaml,deployed_run_copy,5a1511a25fcbe253364c53493d381bdcff340c170f4388aa655f717bdcb56812
FoCut5a_L4,01_simulation/configurations/cases/FoCut5a_L4.yaml,deployed_run_copy,72e52e333609782ccff19acddeb00926b98f13f82bc1a3b858af73886c4d8e3c
FoCut5a_L10,01_simulation/configurations/cases/FoCut5a_L10.yaml,deployed_run_copy,51b97c1629443a4ffcb7886afb0ddb7b594e976b38de93e28d3c1860a3e1e5fa
FoCut5a_L20,01_simulation/configurations/cases/FoCut5a_L20.yaml,deployed_run_copy,20ed3a024accac0baa14cb7376717f5692e969ae1c0c4270ad70b95328cf3b01
IsPETase_L4,01_simulation/configurations/cases/IsPETase_L4.yaml,deployed_run_copy,b0f87acbb6ea1ed54740a565ed5a1e45ee568246ac59ced2bba11693b61e4d72
IsPETase_L10,01_simulation/configurations/cases/IsPETase_L10.yaml,deployed_run_copy,db077826e300943876788befc5931df3a11a338ab393f25240f98cbb52d42ff6
IsPETase_L20,01_simulation/configurations/cases/IsPETase_L20.yaml,deployed_run_copy,0038d01c2b9a236f44555460aaf0d1a2be616ac1d9246fcc725226ec584b520a
HiC_L4,01_simulation/configurations/cases/HiC_L4.yaml,deployed_run_copy,5e62984c2aa4b5eaee7572e373b5d9b3144811a5b9393ee420f9978c2f5f2bc8
HiC_L10,01_simulation/configurations/cases/HiC_L10.yaml,deployed_run_copy,babedb7f42bf5f50d44680bddb9994af90ab9918be12ff92ab3b641becba9d0e
HiC_L20,01_simulation/configurations/cases/HiC_L20.yaml,deployed_run_copy,83c12529e5490c7316959bc4093464ee70f10fc35da1f0ce13b615468e17add5
PHL7_L4,01_simulation/configurations/cases/PHL7_L4.yaml,deployed_run_copy,015fe9b02f9f49af809e94cd852de9896724059148900310d1aafe05f39e0aba
PHL7_L10,01_simulation/configurations/cases/PHL7_L10.yaml,deployed_run_copy,2ab034db69e4bad9266e0a5783a11bc34826a2637bdb0074e6ff114fed8a370b
PHL7_L20,01_simulation/configurations/cases/PHL7_L20.yaml,deployed_run_copy,11ce0e64a70543fd5a900e4905b8a766efeba84224140c900f6136c7fdb3bcc7
