trajectory_id,log_sha256,nominal_fourier_spacing_nm,input_coulomb_cutoff_nm,final_logged_optimal_grid,final_logged_optimal_cutoff_nm,final_optimal_line
Pro00057__PET_L4__single__r1,c0cb9f4697d8a412a5e74da2fcd017b36ad0bda3827fffc4a0b88ac19461333e,0.16,1.2,64 64 64,1.2,478
Pro00057__PET_L4__single__r2,820416ca21281e7285b65005d4e8d98bc43830b073f779ed04e9db94b20e669a,0.16,1.2,64 64 64,1.2,475
Pro00057__PET_L4__single__r3,600c4a0b1afc665aef9e34f4e7612119002f35b1b85e790c3c4506fde4f02d9f,0.16,1.2,64 64 64,1.2,478
Pro00057__PET_L10__bidirectional__r1,e9d58b2f6b86683915f7a7440c4d1145693280d17adb023f78949f922c3f2620,0.16,1.2,84 84 84,1.2,7827
Pro00057__PET_L10__bidirectional__r2,c565b0b3e03ca69dcddfaf034f683173457d34d9983acc85538b7b148516e4b0,0.16,1.2,84 84 84,1.2,7800
Pro00057__PET_L10__bidirectional__r3,20cbcdb57082074518d8822a0367500432a6df45f5248844887c52940cc5f653,0.16,1.2,84 84 84,1.2,490
Pro00057__PET_L10__head-side__r1,2e6bafd928ed0d8ccafb2e6e1e4c3fb9d987b61c938f76a64989a4ca3cbc6d88,0.16,1.2,84 84 84,1.2,7954
Pro00057__PET_L10__head-side__r2,5cb1e75aa20fa65613200e5983701b0298bb99e1aa6f406caf9a79841e38df13,0.16,1.2,84 84 84,1.2,7733
Pro00057__PET_L10__head-side__r3,8ca43d4b9d05c548c5fa5af91b06672a5618a986a181fa2c3e571433236ea608,0.16,1.2,84 84 84,1.2,7870
Pro00057__PET_L10__tail-side__r1,46e16694476832f918fcdce677b83f03949c51258903fd432f7be764cf7c6849,0.16,1.2,84 84 84,1.2,7761
Pro00057__PET_L10__tail-side__r2,e3e88a1d0715b2ad72c38d54dc282028a7a8972aeca152ce65f426bef06d287d,0.16,1.2,84 84 84,1.2,7772
Pro00057__PET_L10__tail-side__r3,691d396b036297e44fbe21a689c4744188bc45da212dd47bc9db21af1a9639a9,0.16,1.2,84 84 84,1.2,7785
Pro00057__PET_L20__bidirectional__r1,0355d7b79b0029f700146ee3175f86aa038f9128007f231ea08a596d2a05212c,0.16,1.2,96 96 96,1.2,473
Pro00057__PET_L20__bidirectional__r2,25fc42b9a5fbf9bd2b6ae7d8b24a5f19e9f781d01484ed2c5076b7b8c60d36e9,0.16,1.2,96 96 96,1.2,473
Pro00057__PET_L20__bidirectional__r3,4db46caf6c8502337686477a0444a44359eded5a465d3f77e70ffabae1fb7a64,0.16,1.2,96 96 96,1.2,473
Pro00057__PET_L20__head-side__r1,0604c86177d32871b661165e70102bcc29e417bc5fbde91095abbf5fd4994f69,0.16,1.2,96 96 96,1.2,473
Pro00057__PET_L20__head-side__r2,61b9e5a5631fef0a160e4f9e99f93f3b2d1862c581f698a8851d613d00421fba,0.16,1.2,96 96 96,1.2,473
Pro00057__PET_L20__head-side__r3,575b2088fbac64f0cf765854c85e07702d082695d9be39e44805cc6d4074e44f,0.16,1.2,96 96 96,1.2,473
Pro00057__PET_L20__tail-side__r1,9a8abd6995ee6892c6ed331dac0c6d9188450ee6421f7d090b59f01bd98bdc4b,0.16,1.2,96 96 96,1.2,473
Pro00057__PET_L20__tail-side__r2,87c3baaed9e120ac3bfa26c54e950713223ca43094b9b10a03a5a572d5927584,0.16,1.2,96 96 96,1.2,473
Pro00057__PET_L20__tail-side__r3,880d25b8437fda7924222cd724e9432a68962dae016086483cb8250c125b6065,0.16,1.2,96 96 96,1.2,473
Pro00062__PET_L4__single__r1,4b7c79155e5aba4918449886a60b8ab275457b4e4491f082e7704c4d8d08b829,0.16,1.2,64 64 64,1.2,499
Pro00062__PET_L4__single__r2,b284d615e849b4073a891c11019e7f76a96a3ff7608e13868c1505c9224e6e4c,0.16,1.2,64 64 64,1.2,499
Pro00062__PET_L4__single__r3,d5e8d48f757ac7034aa19b93a8beda5c7b8685648ed4a7c20f598b776f36bf7d,0.16,1.2,64 64 64,1.2,504
Pro00062__PET_L10__bidirectional__r1,cb9f56e790ddb88fc5f0fc45044ab90738a94b5abe293d7388f7a48b6a524c03,0.16,1.2,84 84 84,1.2,490
Pro00062__PET_L10__bidirectional__r2,3b14f361940304adc7bf5c55eabbcf3132a96e85d2e2edc6f0a6a3cf0cb367f2,0.16,1.2,84 84 84,1.2,490
Pro00062__PET_L10__bidirectional__r3,13af05c869f33f1535a252f6ce0daf9fec5ccdfa711db16cc4935f42313c9385,0.16,1.2,84 84 84,1.2,125025
Pro00062__PET_L10__head-side__r1,945fe0b09ccc9cc4e39b5dd21ce276030e73e5bf5b122eeb615bdd8aaa78d053,0.16,1.2,84 84 84,1.2,486
Pro00062__PET_L10__head-side__r2,8ca102055d5b8d6b2985c0354bfb8ed0b44cd988f714a4c3793b641d28848653,0.16,1.2,84 84 84,1.2,492
