condition_id,enzyme,pet_length,presentation,replicas,system_atoms,protein_atoms,water_molecules,sodium_ions,chloride_ions,protein_charge_e,initial_cubic_edge_nm,genion_seed
Pro00057__PET_L4__single,TfCut1,4,single,3,98368,3981,31392,60,60,0.0,10.0,125510121
Pro00057__PET_L10__bidirectional,TfCut1,10,bidirectional,3,214972,3981,70168,132,132,0.0,13.0,857186565
Pro00057__PET_L10__head-side,TfCut1,10,head-side,3,214957,3981,70163,132,132,0.0,13.0,1380369943
Pro00057__PET_L10__tail-side,TfCut1,10,tail-side,3,214978,3981,70170,132,132,0.0,13.0,813543185
Pro00057__PET_L20__bidirectional,TfCut1,20,bidirectional,3,325398,3981,106856,203,203,0.0,15.0,116501581
Pro00057__PET_L20__head-side,TfCut1,20,head-side,3,325431,3981,106867,203,203,0.0,15.0,1980835867
Pro00057__PET_L20__tail-side,TfCut1,20,tail-side,3,325515,3981,106895,203,203,0.0,15.0,42149935
Pro00062__PET_L4__single,LCC,4,single,3,98412,4400,31265,60,66,6.0,10.0,20260308
Pro00062__PET_L10__bidirectional,LCC,10,bidirectional,3,215064,4400,70057,132,138,6.0,13.0,722787639
Pro00062__PET_L10__head-side,LCC,10,head-side,3,215019,4400,70042,132,138,6.0,13.0,191760624
Pro00062__PET_L10__tail-side,LCC,10,tail-side,3,214959,4400,70022,132,138,6.0,13.0,463257667
Pro00062__PET_L20__bidirectional,LCC,20,bidirectional,3,325430,4400,106725,203,209,6.0,15.0,1434421119
Pro00062__PET_L20__head-side,LCC,20,head-side,3,325547,4400,106764,203,209,6.0,15.0,986390001
Pro00062__PET_L20__tail-side,LCC,20,tail-side,3,325451,4400,106732,203,209,6.0,15.0,1886582368
Pro00075__PET_L4__single,FoCut5a,4,single,3,98274,3219,31614,60,62,2.0,10.0,20260308
Pro00075__PET_L10__bidirectional,FoCut5a,10,bidirectional,3,214920,3219,70404,132,134,2.0,13.0,725501165
Pro00075__PET_L10__head-side,FoCut5a,10,head-side,3,215013,3219,70435,132,134,2.0,13.0,740646956
Pro00075__PET_L10__tail-side,FoCut5a,10,tail-side,3,214923,3219,70405,132,134,2.0,13.0,1978351148
Pro00075__PET_L20__bidirectional,FoCut5a,20,bidirectional,3,325310,3219,107080,203,205,2.0,15.0,1856388927
Pro00075__PET_L20__head-side,FoCut5a,20,head-side,3,325499,3219,107143,203,205,2.0,15.0,174449961
Pro00075__PET_L20__tail-side,FoCut5a,20,tail-side,3,325334,3219,107088,203,205,2.0,15.0,1281699618
Pro00083__PET_L4__single,IsPETase,4,single,3,98285,4182,31294,60,70,10.0,10.0,20260308
Pro00083__PET_L10__bidirectional,IsPETase,10,bidirectional,3,214895,4182,70072,132,142,10.0,13.0,192997573
Pro00083__PET_L10__head-side,IsPETase,10,head-side,3,214892,4182,70071,132,142,10.0,13.0,902590056
Pro00083__PET_L10__tail-side,IsPETase,10,tail-side,3,214955,4182,70092,132,142,10.0,13.0,227181378
Pro00083__PET_L20__bidirectional,IsPETase,20,bidirectional,3,325435,4182,106798,203,213,10.0,15.0,93231213
Pro00083__PET_L20__head-side,IsPETase,20,head-side,3,325384,4182,106781,203,213,10.0,15.0,401104389
Pro00083__PET_L20__tail-side,IsPETase,20,tail-side,3,325435,4182,106798,203,213,10.0,15.0,1865516749
Pro00121__PET_L4__single,HiC,4,single,3,98284,2847,31741,60,63,3.0,10.0,20260308
Pro00121__PET_L10__bidirectional,HiC,10,bidirectional,3,214933,2847,70532,132,135,3.0,13.0,1259905827
Pro00121__PET_L10__head-side,HiC,10,head-side,3,214990,2847,70551,132,135,3.0,13.0,969814074
Pro00121__PET_L10__tail-side,HiC,10,tail-side,3,214894,2847,70519,132,135,3.0,13.0,655356288
Pro00121__PET_L20__bidirectional,HiC,20,bidirectional,3,325359,2847,107220,203,206,3.0,15.0,47946049
Pro00121__PET_L20__head-side,HiC,20,head-side,3,325410,2847,107237,203,206,3.0,15.0,574137395
Pro00121__PET_L20__tail-side,HiC,20,tail-side,3,325416,2847,107239,203,206,3.0,15.0,1532395136
Pro00137__PET_L4__single,PHL7,4,single,3,98390,4010,31388,65,60,-5.0,10.0,20260308
Pro00137__PET_L10__bidirectional,PHL7,10,bidirectional,3,214991,4010,70163,137,132,-5.0,13.0,1397550148
Pro00137__PET_L10__head-side,PHL7,10,head-side,3,214943,4010,70147,137,132,-5.0,13.0,1190602344
Pro00137__PET_L10__tail-side,PHL7,10,tail-side,3,215009,4010,70169,137,132,-5.0,13.0,1107990659
Pro00137__PET_L20__bidirectional,PHL7,20,bidirectional,3,325378,4010,106838,208,203,-5.0,15.0,548347426
Pro00137__PET_L20__head-side,PHL7,20,head-side,3,325423,4010,106853,208,203,-5.0,15.0,808321305
Pro00137__PET_L20__tail-side,PHL7,20,tail-side,3,325435,4010,106857,208,203,-5.0,15.0,54612321
