case,protein_id,pet_kind,protein_label,direction,replica_id,strict_bool,retained_bool,stability_pass_bool
Pro00057_PET_L10_bidirectional_r02,Pro00057,PET_L10,T. fusca cutinase 1 / CUT1 / 7QJR,bidirectional,2,True,True,True
Pro00057_PET_L10_bidirectional_r03,Pro00057,PET_L10,T. fusca cutinase 1 / CUT1 / 7QJR,bidirectional,3,True,True,True
Pro00057_PET_L10_head_side_r02,Pro00057,PET_L10,T. fusca cutinase 1 / CUT1 / 7QJR,head-side,2,True,True,True
Pro00057_PET_L10_head_side_r03,Pro00057,PET_L10,T. fusca cutinase 1 / CUT1 / 7QJR,head-side,3,True,True,True
Pro00057_PET_L10_tail_side_r02,Pro00057,PET_L10,T. fusca cutinase 1 / CUT1 / 7QJR,tail-side,2,True,True,True
Pro00057_PET_L10_tail_side_r03,Pro00057,PET_L10,T. fusca cutinase 1 / CUT1 / 7QJR,tail-side,3,True,True,True
Pro00057_PET_L20_bidirectional_r01,Pro00057,PET_L20,T. fusca cutinase 1 / CUT1 / 7QJR,bidirectional,1,True,True,True
Pro00057_PET_L20_bidirectional_r02,Pro00057,PET_L20,T. fusca cutinase 1 / CUT1 / 7QJR,bidirectional,2,True,True,True
Pro00057_PET_L20_head_side_r01,Pro00057,PET_L20,T. fusca cutinase 1 / CUT1 / 7QJR,head-side,1,True,True,True
Pro00057_PET_L20_head_side_r02,Pro00057,PET_L20,T. fusca cutinase 1 / CUT1 / 7QJR,head-side,2,True,True,True
Pro00057_PET_L20_head_side_r03,Pro00057,PET_L20,T. fusca cutinase 1 / CUT1 / 7QJR,head-side,3,True,True,True
Pro00057_PET_L20_tail_side_r02,Pro00057,PET_L20,T. fusca cutinase 1 / CUT1 / 7QJR,tail-side,2,True,True,True
Pro00057_PET_L4_single_r02,Pro00057,PET_L4,T. fusca cutinase 1 / CUT1 / 7QJR,single,2,True,True,True
Pro00057_PET_L4_single_r03,Pro00057,PET_L4,T. fusca cutinase 1 / CUT1 / 7QJR,single,3,True,True,True
Pro00062_PET_L10_bidirectional_r01,Pro00062,PET_L10,LCC WT,bidirectional,1,False,True,False
Pro00062_PET_L10_bidirectional_r03,Pro00062,PET_L10,LCC WT,bidirectional,3,False,True,False
Pro00062_PET_L10_head_side_r02,Pro00062,PET_L10,LCC WT,head-side,2,False,True,False
Pro00062_PET_L20_bidirectional_r01,Pro00062,PET_L20,LCC WT,bidirectional,1,False,True,False
Pro00062_PET_L20_bidirectional_r02,Pro00062,PET_L20,LCC WT,bidirectional,2,False,True,False
Pro00062_PET_L20_head_side_r01,Pro00062,PET_L20,LCC WT,head-side,1,False,True,False
Pro00062_PET_L20_head_side_r02,Pro00062,PET_L20,LCC WT,head-side,2,False,True,False
Pro00062_PET_L20_head_side_r03,Pro00062,PET_L20,LCC WT,head-side,3,False,True,False
Pro00062_PET_L20_tail_side_r01,Pro00062,PET_L20,LCC WT,tail-side,1,False,True,False
Pro00062_PET_L20_tail_side_r02,Pro00062,PET_L20,LCC WT,tail-side,2,False,True,False
Pro00062_PET_L20_tail_side_r03,Pro00062,PET_L20,LCC WT,tail-side,3,False,True,False
Pro00062_PET_L4_single_r01,Pro00062,PET_L4,LCC WT,single,1,False,True,False
Pro00062_PET_L4_single_r02,Pro00062,PET_L4,LCC WT,single,2,False,True,False
Pro00075_PET_L10_bidirectional_r01,Pro00075,PET_L10,FoCut5a,bidirectional,1,False,True,False
Pro00075_PET_L10_head_side_r01,Pro00075,PET_L10,FoCut5a,head-side,1,False,True,False
Pro00075_PET_L10_head_side_r02,Pro00075,PET_L10,FoCut5a,head-side,2,False,True,False
Pro00075_PET_L10_head_side_r03,Pro00075,PET_L10,FoCut5a,head-side,3,False,True,False
Pro00075_PET_L10_tail_side_r02,Pro00075,PET_L10,FoCut5a,tail-side,2,False,True,False
