metric,pet_kind,n_trajectories,mean,bootstrap_95_low,bootstrap_95_high,resamples,seed
chi2_circular_mean_deg,PET_L10,3,96.98027076,95.51221174,97.79672965,20000,20260730
chi2_circular_mean_deg,PET_L20,2,97.91864948,97.90210657,97.93519239,20000,20260730
chi2_circular_sd_deg,PET_L10,3,8.95841586,8.86774105,9.12027199,20000,20260730
chi2_circular_sd_deg,PET_L20,2,8.79156390,8.70918924,8.87393856,20000,20260730
chi2_q90_span_deg,PET_L10,3,29.28900000,29.01940000,29.47720000,20000,20260730
chi2_q90_span_deg,PET_L20,2,28.86115000,28.54200000,29.18030000,20000,20260730
nearest_phl7_reference_distance_mean_deg,PET_L10,3,9.94856731,9.50378603,10.51987978,20000,20260730
nearest_phl7_reference_distance_mean_deg,PET_L20,2,9.47701149,9.20824225,9.74578073,20000,20260730
nearest_A_fraction,PET_L10,3,0.00000000,0.00000000,0.00000000,20000,20260730
nearest_A_fraction,PET_L20,2,0.00000000,0.00000000,0.00000000,20000,20260730
nearest_B_fraction,PET_L10,3,0.46456693,0.42457193,0.53118360,20000,20260730
nearest_B_fraction,PET_L20,2,0.42282215,0.42169729,0.42394701,20000,20260730
nearest_C_fraction,PET_L10,3,0.53543307,0.46881640,0.57542807,20000,20260730
nearest_C_fraction,PET_L20,2,0.57717785,0.57605299,0.57830271,20000,20260730
core_A_fraction,PET_L10,3,0.00000000,0.00000000,0.00000000,20000,20260730
core_A_fraction,PET_L20,2,0.00000000,0.00000000,0.00000000,20000,20260730
core_B_fraction,PET_L10,3,0.37370329,0.33683290,0.43494563,20000,20260730
core_B_fraction,PET_L20,2,0.33395826,0.33383327,0.33408324,20000,20260730
core_C_fraction,PET_L10,3,0.44440278,0.38057743,0.47719035,20000,20260730
core_C_fraction,PET_L20,2,0.47806524,0.47381577,0.48231471,20000,20260730
core_intermediate_fraction,PET_L10,3,0.18189393,0.17522810,0.18597675,20000,20260730
core_intermediate_fraction,PET_L20,2,0.18797650,0.18385202,0.19210099,20000,20260730
persistent_transition_rate_per_100ns_0_5ns,PET_L10,3,0.00000000,0.00000000,0.00000000,20000,20260730
persistent_transition_rate_per_100ns_0_5ns,PET_L20,2,0.00000000,0.00000000,0.00000000,20000,20260730
w156_contact_fraction,PET_L10,3,0.48273133,0.26296713,0.89501312,20000,20260730
w156_contact_fraction,PET_L20,2,0.91926009,0.90613673,0.93238345,20000,20260730
same_unit_coengagement_fraction,PET_L10,3,0.46090072,0.24771904,0.86126734,20000,20260730
same_unit_coengagement_fraction,PET_L20,2,0.89501312,0.86151731,0.92850894,20000,20260730
