case,pet_kind,direction,replica,sample_interval_ps,n_sampled_frames,components,bic,component_chi1_delta_means_deg,component_chi2_means_deg,component_weights,chi2_component_span_deg,all_component_weights_ge_0_10,bic_delta_from_selected,selected_by_bic,resolved_multibasin_by_30deg_rule
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,100,801,1,10856.80458608,5.0792,95.7020,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,100,801,2,10900.29922902,5.9606;4.2282,90.1996;101.0144,0.491214;0.508786,10.81484750,True,43.49464295,False,False
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,100,801,3,10931.85163888,3.9338;7.2686;3.2674,85.9518;95.2683;103.5477,0.252618;0.410736;0.336646,17.59598862,True,75.04705280,False,False
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,200,401,1,5403.61648090,5.0390,95.5351,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,200,401,2,5435.05606973,5.3447;4.7226,91.0082;100.2199,0.508572;0.491428,9.21171711,True,31.43958883,False,False
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,200,401,3,5467.75382321,2.6823;7.1634;4.2458,84.7577;93.9397;102.6793,0.210941;0.384893;0.404166,17.92159192,True,64.13734231,False,False
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,500,161,1,2219.55541990,5.5068,95.5469,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,500,161,2,2246.18651778,7.5267;4.0317,89.2974;100.1108,0.422059;0.577941,10.81333372,True,26.63109788,False,False
Pro00137_PET_L10_head_side_r01,PET_L10,head_side,1,500,161,3,2278.69312400,7.3554;5.4370;3.7312,84.8219;95.9739;105.8121,0.281492;0.442825;0.275684,20.99024125,True,59.13770410,False,False
Pro00137_PET_L10_head_side_r03,PET_L10,head_side,3,100,801,1,10919.24354917,5.2899,97.5302,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L10_head_side_r03,PET_L10,head_side,3,100,801,2,10963.87928763,5.4205;5.1623,92.4162;102.5257,0.494139;0.505861,10.10943787,True,44.63573846,False,False
Pro00137_PET_L10_head_side_r03,PET_L10,head_side,3,100,801,3,10991.70244361,5.5614;2.6525;7.8447,91.0185;99.0597;105.0563,0.401333;0.315559;0.283108,14.03775415,True,72.45889444,False,False
Pro00137_PET_L10_head_side_r03,PET_L10,head_side,3,200,401,1,5439.68641072,5.1687,97.8535,1.000000,0.00000000,True,0.00000000,True,False
Pro00137_PET_L10_head_side_r03,PET_L10,head_side,3,200,401,2,5473.12790988,6.4963;4.3757,90.9848;101.9568,0.373980;0.626020,10.97199495,True,33.44149916,False,False
