protein_id,protein_short,condition,mean_retention_fraction,retained_ready_n,trajectory_n
Pro00057,TfCut1,L10/bi,0.7203333333333334,2,3
Pro00057,TfCut1,L10/head,0.8039,2,3
Pro00057,TfCut1,L10/tail,0.8757666666666667,2,3
Pro00057,TfCut1,L20/bi,0.7568666666666667,2,3
Pro00057,TfCut1,L20/head,1.0,3,3
Pro00057,TfCut1,L20/tail,0.44993333333333335,1,3
Pro00057,TfCut1,L4/single,0.6537000000000001,2,3
Pro00062,LCC,L10/bi,0.8662333333333333,2,3
Pro00062,LCC,L10/head,0.4334,1,3
Pro00062,LCC,L10/tail,0.5853666666666667,0,3
Pro00062,LCC,L20/bi,0.7849333333333334,2,3
Pro00062,LCC,L20/head,1.0,3,3
Pro00062,LCC,L20/tail,0.9475666666666666,3,3
Pro00062,LCC,L4/single,0.8435,2,3
Pro00075,FoCut5a,L10/bi,0.5524,1,3
Pro00075,FoCut5a,L10/head,1.0,3,3
Pro00075,FoCut5a,L10/tail,0.4267,1,3
Pro00075,FoCut5a,L20/bi,0.3432,1,3
Pro00075,FoCut5a,L20/head,1.0,3,3
Pro00075,FoCut5a,L20/tail,1.0,3,3
Pro00075,FoCut5a,L4/single,0.5445333333333333,0,3
Pro00083,IsPETase,L10/bi,0.5485666666666666,1,3
Pro00083,IsPETase,L10/head,0.6734666666666667,2,3
Pro00083,IsPETase,L10/tail,0.7027333333333333,1,3
Pro00083,IsPETase,L20/bi,0.5756666666666667,2,3
Pro00083,IsPETase,L20/head,0.9996,3,3
Pro00083,IsPETase,L20/tail,0.7616666666666667,2,3
Pro00083,IsPETase,L4/single,0.7829333333333333,2,3
Pro00121,HiC,L10/bi,0.4977333333333333,1,3
Pro00121,HiC,L10/head,0.5671,1,3
Pro00121,HiC,L10/tail,1.0,3,3
Pro00121,HiC,L20/bi,1.0,3,3
Pro00121,HiC,L20/head,1.0,3,3
Pro00121,HiC,L20/tail,0.7141666666666667,2,3
Pro00121,HiC,L4/single,0.41853333333333337,0,3
Pro00137,PHL7,L10/bi,0.5083,0,3
Pro00137,PHL7,L10/head,0.7638666666666666,2,3
Pro00137,PHL7,L10/tail,0.4064666666666667,1,3
Pro00137,PHL7,L20/bi,0.6042,1,3
Pro00137,PHL7,L20/head,0.3966,0,3
Pro00137,PHL7,L20/tail,0.5788666666666668,1,3
Pro00137,PHL7,L4/single,0.4989333333333333,1,3
