trajectory_id,protein_id,protein,protein_label,catalytic_ser_resid_simulation,catalytic_ser_atom,pet_kind,pet_length,direction,replica_id,run_id,retention_class,retention_fraction,production_verdict,stability_verdict,clash_verdict,pbc_verdict,n_frames,start_time_ns,end_time_ns,median_frame_interval_ps,mean_ser_og_to_any_pet_heavy_min_nm,median_ser_og_to_any_pet_heavy_min_nm,sd_ser_og_to_any_pet_heavy_min_nm,q05_ser_og_to_any_pet_heavy_min_nm,q25_ser_og_to_any_pet_heavy_min_nm,q75_ser_og_to_any_pet_heavy_min_nm,q95_ser_og_to_any_pet_heavy_min_nm,min_ser_og_to_any_pet_heavy_min_nm,max_ser_og_to_any_pet_heavy_min_nm,fraction_ser_og_to_any_pet_heavy_min_le_0_4_nm,fraction_ser_og_to_any_pet_heavy_min_le_0_6_nm,mean_ser_og_to_ester_carbonyl_c_min_nm,median_ser_og_to_ester_carbonyl_c_min_nm,sd_ser_og_to_ester_carbonyl_c_min_nm,q05_ser_og_to_ester_carbonyl_c_min_nm,q25_ser_og_to_ester_carbonyl_c_min_nm,q75_ser_og_to_ester_carbonyl_c_min_nm,q95_ser_og_to_ester_carbonyl_c_min_nm,min_ser_og_to_ester_carbonyl_c_min_nm,max_ser_og_to_ester_carbonyl_c_min_nm,fraction_ser_og_to_ester_carbonyl_c_min_le_0_4_nm,fraction_ser_og_to_ester_carbonyl_c_min_le_0_6_nm,mean_carbonyl_minus_any_heavy_min_nm
Pro00083_PET_L4_single_r01,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L4,4,single,1,pro00083_petl4_b200h200x32_binding001_20260612T132208Z,retained,0.83080000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,1.55167742,0.60700000,1.79656319,0.37600000,0.41900000,2.07600000,5.65900000,0.28700000,7.12900000,0.15135608,0.49393826,1.65822597,0.69200000,1.81193033,0.47300000,0.52100000,2.17500000,5.79000000,0.37800000,7.24700000,0.00024997,0.41569804,0.10654856
Pro00083_PET_L4_single_r02,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L4,4,single,2,pro00083_petl4_b200h200x32_binding001_20260612T132208Z,retained,0.94910000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,3.72763792,3.87900000,0.59957518,2.79800000,3.31400000,4.13600000,4.57200000,1.24600000,5.13200000,0.00000000,0.00000000,3.88286527,4.00300000,0.57184730,3.13900000,3.45700000,4.27300000,4.71400000,1.58900000,5.26000000,0.00000000,0.00000000,0.15522735
Pro00083_PET_L10_head_side_r02,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L10,10,head-side,2,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.69596525,0.74200000,0.16869937,0.37200000,0.58000000,0.82900000,0.90600000,0.28200000,1.11400000,0.08398950,0.27809024,0.79542257,0.84000000,0.15645687,0.50100000,0.68700000,0.90400000,1.00800000,0.39000000,1.21500000,0.00037495,0.16160480,0.09945732
Pro00083_PET_L10_head_side_r03,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L10,10,head-side,3,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.69889464,0.71400000,0.12968936,0.48200000,0.59300000,0.80900000,0.88300000,0.25700000,1.03500000,0.00362455,0.26659168,0.79805624,0.81700000,0.11927116,0.59200000,0.70300000,0.89700000,0.96200000,0.34600000,1.14500000,0.00012498,0.05886764,0.09916160
Pro00083_PET_L10_tail_side_r03,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L10,10,tail-side,3,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.79273166,0.79800000,0.08347397,0.65100000,0.73600000,0.84900000,0.92000000,0.48300000,1.19000000,0.00000000,0.00862392,0.88235071,0.89600000,0.09857200,0.71000000,0.81500000,0.94800000,1.02900000,0.57900000,1.31800000,0.00000000,0.00049994,0.08961905
Pro00083_PET_L10_bidirectional_r01,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L10,10,bidirectional,1,pro00083_petl10_b200h200x32_binding001_20260613T195109Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,2.56426372,2.63600000,0.32380612,1.83400000,2.55000000,2.71200000,2.88100000,0.72400000,3.38400000,0.00000000,0.00000000,2.66519610,2.72000000,0.31864433,1.93800000,2.65300000,2.80100000,3.00500000,0.82700000,3.49600000,0.00000000,0.00000000,0.10093238
Pro00083_PET_L20_head_side_r01,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L20,20,head-side,1,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.60307212,0.58200000,0.19485041,0.34900000,0.44900000,0.70100000,0.97700000,0.29000000,1.34600000,0.14323210,0.53380827,0.71693213,0.69500000,0.19558166,0.47600000,0.56300000,0.80600000,1.09900000,0.38300000,1.50400000,0.00037495,0.34220722,0.11386002
Pro00083_PET_L20_head_side_r02,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L20,20,head-side,2,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.34286427,0.33800000,0.03110494,0.30600000,0.32300000,0.35600000,0.39400000,0.27000000,0.66600000,0.95950506,0.99950006,0.48085077,0.47900000,0.03044658,0.43900000,0.46300000,0.49400000,0.52500000,0.36200000,0.76000000,0.00274966,0.99187602,0.13798650
Pro00083_PET_L20_head_side_r03,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L20,20,head-side,3,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,retained,0.99880000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,3.73903837,3.59000000,0.62530523,3.25300000,3.41600000,3.77700000,5.03900000,2.87100000,7.39300000,0.00000000,0.00000000,3.85231559,3.70000000,0.62063826,3.39000000,3.52900000,3.86300000,5.16300000,3.14800000,7.51700000,0.00000000,0.00000000,0.11327722
Pro00083_PET_L20_tail_side_r01,Pro00083,IsPETase,IsPETase WT,160,OG,PET_L20,20,tail-side,1,pro00083_petl20_b200h200x32_binding001_20260615T121700Z,retained,1.00000000,PRODUCTION_WARN,WARN,PASS,PASS,8001,20.00000000,100.00000000,10.00000000,0.67189139,0.66400000,0.11309880,0.49500000,0.60000000,0.73700000,0.86600000,0.33000000,1.36300000,0.00212473,0.25221847,0.78323660,0.77500000,0.11153205,0.60900000,0.71200000,0.85000000,0.97000000,0.43100000,1.47900000,0.00000000,0.03849519,0.11134521
