protein_id,protein_label,pet_kind,pet_length,run_id,layout,direction,replica_id,production_verdict,retention_verdict,retention_fraction,retention_class,stability_verdict,clash_verdict,pbc_verdict,burn_in_ns,mindist_mean_post_burn_in_nm,mindist_end_post_burn_in_nm,existing_residue_contacts_long,existing_contact_persistence,files_ready_for_fingerprint,retained_fingerprint_eligible,strict_fingerprint_eligible,inclusion_note
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L4,4,pro00057_petl4_local_binding002_20260527T061210Z,root,single,1,PRODUCTION_FAIL,FAIL,0.1535,detached,PASS,PASS,PASS,20.0,2.168,3.029,yes,yes,yes,no,no,retention 0.153 below 0.8; retention verdict FAIL
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L4,4,pro00057_petl4_local_binding002_20260527T061210Z,root,single,2,PRODUCTION_PASS,PASS,0.8310,retained,PASS,PASS,PASS,20.0,0.538,0.203,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L4,4,pro00057_petl4_local_binding002_20260527T061210Z,root,single,3,PRODUCTION_PASS,PASS,0.9766,retained,PASS,PASS,PASS,20.0,0.23,0.19,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L10,10,pro00057_petl10_h200x32_binding002_20260529T234511Z,runtime,bidirectional,1,PRODUCTION_FAIL,FAIL,0.1610,detached,PASS,PASS,PASS,20.0,2.677,4.55,yes,yes,yes,no,no,retention 0.161 below 0.8; retention verdict FAIL
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L10,10,pro00057_petl10_h200x32_binding002_20260529T234511Z,runtime,bidirectional,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.203,0.173,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L10,10,pro00057_petl10_h200x32_binding002_20260529T234511Z,runtime,bidirectional,3,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.194,0.186,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L10,10,pro00057_petl10_h200x32_binding002_20260529T234511Z,runtime,head-side,1,PRODUCTION_FAIL,FAIL,0.4117,detached,PASS,PASS,PASS,20.0,2.288,0.193,yes,yes,yes,no,no,retention 0.412 below 0.8; retention verdict FAIL
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L10,10,pro00057_petl10_h200x32_binding002_20260529T234511Z,runtime,head-side,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.174,0.166,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L10,10,pro00057_petl10_h200x32_binding002_20260529T234511Z,runtime,head-side,3,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.205,0.203,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L10,10,pro00057_petl10_h200x32_binding002_20260529T234511Z,runtime,tail-side,1,PRODUCTION_WARN,WARN,0.6273,partial,PASS,PASS,PASS,20.0,1.509,3.08,yes,yes,yes,no,no,retention 0.627 below 0.8; retention verdict WARN
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L10,10,pro00057_petl10_h200x32_binding002_20260529T234511Z,runtime,tail-side,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.204,0.217,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L10,10,pro00057_petl10_h200x32_binding002_20260529T234511Z,runtime,tail-side,3,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.205,0.197,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L20,20,pro00057_petl20_parallel64_from_l4_20260527T233152Z,runtime,bidirectional,1,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.202,0.232,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L20,20,pro00057_petl20_parallel64_from_l4_20260527T233152Z,runtime,bidirectional,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.185,0.188,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L20,20,pro00057_petl20_parallel64_from_l4_20260527T233152Z,runtime,bidirectional,3,PRODUCTION_FAIL,FAIL,0.2706,detached,PASS,PASS,PASS,20.0,2.97,3.595,yes,yes,yes,no,no,retention 0.271 below 0.8; retention verdict FAIL
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L20,20,pro00057_petl20_parallel64_from_l4_20260527T233152Z,runtime,head-side,1,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.18,0.161,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L20,20,pro00057_petl20_parallel64_from_l4_20260527T233152Z,runtime,head-side,2,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.195,0.172,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L20,20,pro00057_petl20_parallel64_from_l4_20260527T233152Z,runtime,head-side,3,PRODUCTION_PASS,PASS,1.0000,retained,PASS,PASS,PASS,20.0,0.189,0.207,yes,yes,yes,yes,yes,strict retained trajectory
Pro00057,T. fusca cutinase 1 / CUT1 / 7QJR,PET_L20,20,pro00057_petl20_parallel64_from_l4_20260527T233152Z,runtime,tail-side,1,PRODUCTION_FAIL,FAIL,0.3402,detached,PASS,PASS,PASS,20.0,3.525,2.865,yes,yes,yes,no,no,retention 0.340 below 0.8; retention verdict FAIL
