trajectory_id,protein_id,protein,pet_kind,pet_length,direction,replica_id,stability_verdict,wloop_mean_rmsf_nm,wloop_max_rmsf_nm,marker_rmsf_nm,marker_residue_label,protein_median_calpha_rmsf_nm,wloop_minus_protein_median_nm,wloop_over_protein_median_ratio,stability_last50_mean_backbone_rmsd_nm,stability_last50_max_backbone_rmsd_nm,stability_plateau_ok,contact_fraction,contact_count,total_frames
Pro00057_PET_L10_bidirectional_r02,Pro00057,TfCut1,PET_L10,10,bidirectional,2,PASS,0.05072727272727273,0.0641,0.0392,W156,0.0546,-0.0038727272727272707,0.9290709290709291,0.144,0.405,True,0.65241845,5220,8001
Pro00057_PET_L10_bidirectional_r03,Pro00057,TfCut1,PET_L10,10,bidirectional,3,PASS,0.04623636363636364,0.058,0.0356,W156,0.05055,-0.00431363636363636,0.914665947306897,0.127,0.171,True,0.80027497,6403,8001
Pro00057_PET_L10_head_side_r02,Pro00057,TfCut1,PET_L10,10,head-side,2,PASS,0.04194545454545455,0.0509,0.0364,W156,0.0492,-0.007254545454545451,0.8525498891352551,0.116,0.144,True,0.82952131,6637,8001
Pro00057_PET_L10_head_side_r03,Pro00057,TfCut1,PET_L10,10,head-side,3,PASS,0.04586363636363637,0.058,0.0373,W156,0.0519,-0.006036363636363631,0.8836924154843231,0.144,0.182,True,0.9976253,7982,8001
Pro00057_PET_L10_tail_side_r02,Pro00057,TfCut1,PET_L10,10,tail-side,2,PASS,0.042063636363636366,0.0546,0.0316,W156,0.04605,-0.003986363636363635,0.9134340144112132,0.101,0.132,True,0.99725034,7979,8001
Pro00057_PET_L10_tail_side_r03,Pro00057,TfCut1,PET_L10,10,tail-side,3,PASS,0.0407,0.0505,0.0323,W156,0.04795,-0.0072499999999999995,0.848800834202294,0.112,0.14,True,0.99737533,7980,8001
Pro00057_PET_L20_bidirectional_r01,Pro00057,TfCut1,PET_L20,20,bidirectional,1,PASS,0.043290909090909095,0.0524,0.0352,W156,0.0522,-0.008909090909090908,0.8293277603622432,0.116,0.144,True,0.0,0,8001
Pro00057_PET_L20_bidirectional_r02,Pro00057,TfCut1,PET_L20,20,bidirectional,2,PASS,0.04383636363636364,0.0574,0.034,W156,0.047850000000000004,-0.004013636363636365,0.9161204521706089,0.096,0.136,True,0.97150356,7773,8001
Pro00057_PET_L20_head_side_r01,Pro00057,TfCut1,PET_L20,20,head-side,1,PASS,0.044636363636363634,0.0607,0.0352,W156,0.04945,-0.004813636363636367,0.9026564941630664,0.116,0.17,True,0.832021,6657,8001
Pro00057_PET_L20_head_side_r02,Pro00057,TfCut1,PET_L20,20,head-side,2,PASS,0.04577272727272728,0.0546,0.0383,W156,0.0523,-0.006527272727272722,0.8751955501477491,0.129,0.181,True,0.83327084,6667,8001
Pro00057_PET_L20_head_side_r03,Pro00057,TfCut1,PET_L20,20,head-side,3,PASS,0.049518181818181815,0.058,0.0403,W156,0.0495,1.8181818181813025e-05,1.0003673094582184,0.106,0.135,True,0.85976753,6879,8001
Pro00057_PET_L20_tail_side_r02,Pro00057,TfCut1,PET_L20,20,tail-side,2,PASS,0.043754545454545456,0.055,0.0365,W156,0.05155,-0.007795454545454543,0.8487787673044705,0.118,0.168,True,0.99150106,7933,8001
Pro00057_PET_L4_single_r02,Pro00057,TfCut1,PET_L4,4,single,2,PASS,0.04582727272727272,0.0588,0.0364,W156,0.0495,-0.003672727272727279,0.9258034894398529,0.097,0.132,True,0.63254593,5061,8001
Pro00057_PET_L4_single_r03,Pro00057,TfCut1,PET_L4,4,single,3,PASS,0.04776363636363636,0.0714,0.0366,W156,0.05025,-0.0024863636363636407,0.9505201266395296,0.112,0.152,True,0.0,0,8001
Pro00062_PET_L10_bidirectional_r01,Pro00062,LCC,PET_L10,10,bidirectional,1,WARN,0.12077272727272727,0.1608,0.1062,W190,0.126,-0.005227272727272733,0.9585137085137084,1.39,1.496,False,0.49981252,3999,8001
Pro00062_PET_L10_bidirectional_r03,Pro00062,LCC,PET_L10,10,bidirectional,3,WARN,0.4962818181818181,0.6747,0.5169,W190,0.5054,-0.009118181818181859,0.9819584847285677,2.24,2.299,False,0.0,0,8001
Pro00062_PET_L10_head_side_r02,Pro00062,LCC,PET_L10,10,head-side,2,WARN,0.3643363636363636,0.4835,0.3884,W190,0.3722,-0.00786363636363635,0.9788725514141957,1.531,1.685,False,0.73128359,5851,8001
Pro00062_PET_L20_bidirectional_r01,Pro00062,LCC,PET_L20,20,bidirectional,1,WARN,0.4777818181818182,0.6426,0.504,W190,0.5536,-0.07581818181818178,0.8630451918024173,1.479,2.012,False,0.51418573,4114,8001
Pro00062_PET_L20_bidirectional_r02,Pro00062,LCC,PET_L20,20,bidirectional,2,WARN,0.35608181818181817,0.4842,0.3403,W190,0.3745,-0.018418181818181834,0.9508192741837601,1.501,1.608,False,0.0,0,8001
Pro00062_PET_L20_head_side_r01,Pro00062,LCC,PET_L20,20,head-side,1,WARN,0.09236363636363637,0.1215,0.0874,W190,0.1017,-0.009336363636363629,0.9081970143917047,1.302,1.356,False,0.12823397,1026,8001
Pro00062_PET_L20_head_side_r02,Pro00062,LCC,PET_L20,20,head-side,2,WARN,0.3335181818181818,0.425,0.329,W190,0.3476,-0.014081818181818195,0.9594884402134114,1.434,1.706,False,0.94500687,7561,8001
Pro00062_PET_L20_head_side_r03,Pro00062,LCC,PET_L20,20,head-side,3,WARN,0.10401818181818183,0.1328,0.0841,W190,0.1073,-0.0032818181818181774,0.9694145556214522,1.39,1.502,False,0.95550556,7645,8001
Pro00062_PET_L20_tail_side_r01,Pro00062,LCC,PET_L20,20,tail-side,1,WARN,0.27544545454545455,0.3575,0.2783,W190,0.2878,-0.012354545454545451,0.9570724619369512,1.755,1.887,False,0.0,0,8001
Pro00062_PET_L20_tail_side_r02,Pro00062,LCC,PET_L20,20,tail-side,2,WARN,0.11185454545454544,0.142,0.1029,W190,0.1388,-0.026945454545454564,0.8058684831019124,2.002,2.199,False,0.66954131,5357,8001
Pro00062_PET_L20_tail_side_r03,Pro00062,LCC,PET_L20,20,tail-side,3,WARN,0.1470090909090909,0.2036,0.1283,W190,0.1547,-0.007690909090909109,0.9502850091085384,1.469,1.656,False,0.135983,1088,8001
Pro00062_PET_L4_single_r01,Pro00062,LCC,PET_L4,4,single,1,WARN,0.07787272727272727,0.1044,0.0537,W190,0.0704,0.00747272727272727,1.1061466942148759,1.475,1.543,False,0.86389201,6912,8001
Pro00062_PET_L4_single_r02,Pro00062,LCC,PET_L4,4,single,2,WARN,0.29103636363636365,0.3614,0.2583,W190,0.2829,0.008136363636363664,1.028760564285485,1.922,1.99,False,0.77077865,6167,8001
Pro00075_PET_L10_bidirectional_r01,Pro00075,FoCut5a,PET_L10,10,bidirectional,1,WARN,0.09949090909090909,0.1346,0.0762,T152,0.09805,0.00144090909090909,1.0146956562050902,0.471,0.627,False,0.0,0,8001
Pro00075_PET_L10_head_side_r01,Pro00075,FoCut5a,PET_L10,10,head-side,1,WARN,0.1280909090909091,0.1733,0.0961,T152,0.1543,-0.026209090909090904,0.8301419902197609,0.49,0.632,False,0.00012498,1,8001
Pro00075_PET_L10_head_side_r02,Pro00075,FoCut5a,PET_L10,10,head-side,2,WARN,0.13413636363636364,0.1852,0.0961,T152,0.19119999999999998,-0.057063636363636344,0.7015500190186383,0.458,0.639,False,0.00037495,3,8001
Pro00075_PET_L10_head_side_r03,Pro00075,FoCut5a,PET_L10,10,head-side,3,WARN,0.1285090909090909,0.1804,0.0856,T152,0.12845,5.9090909090897537e-05,1.0004600304327824,0.562,0.671,False,0.56817898,4546,8001
Pro00075_PET_L10_tail_side_r02,Pro00075,FoCut5a,PET_L10,10,tail-side,2,WARN,0.08351818181818181,0.1145,0.0651,T152,0.08005,0.0034681818181818147,1.0433251944807223,0.761,0.817,False,0.07186602,575,8001
Pro00075_PET_L20_bidirectional_r01,Pro00075,FoCut5a,PET_L20,20,bidirectional,1,WARN,0.1398818181818182,0.2114,0.0791,T152,0.18159999999999998,-0.04171818181818179,0.7702743291950341,0.423,0.645,False,0.00024997,2,8001
Pro00075_PET_L20_head_side_r01,Pro00075,FoCut5a,PET_L20,20,head-side,1,WARN,0.18512727272727272,0.3274,0.0966,T152,0.14875,0.03637727272727273,1.2445530939648588,0.857,1.053,False,0.0,0,8001
Pro00075_PET_L20_head_side_r02,Pro00075,FoCut5a,PET_L20,20,head-side,2,WARN,0.15781818181818183,0.2285,0.1081,T152,0.25139999999999996,-0.09358181818181813,0.6277572864685038,0.527,0.75,False,0.18410199,1473,8001
Pro00075_PET_L20_head_side_r03,Pro00075,FoCut5a,PET_L20,20,head-side,3,WARN,0.12051818181818183,0.1559,0.1077,T152,0.14534999999999998,-0.02483181818181815,0.8291584576414299,0.708,0.886,False,0.0,0,8001
Pro00075_PET_L20_tail_side_r01,Pro00075,FoCut5a,PET_L20,20,tail-side,1,WARN,0.11692727272727273,0.1591,0.0926,T152,0.1106,0.006327272727272723,1.0572086141706394,0.318,0.507,False,0.0,0,8001
