name,version,build,url,sha256,md5
_openmp_mutex,4.5,20_gnu,https://conda.anaconda.org/conda-forge/linux-64/_openmp_mutex-4.5-20_gnu.conda,1dd3fffd892081df9726d7eb7e0dea6198962ba775bd88842135a4ddb4deb3c9,a9f577daf3de00bca7c3c76c0ecbd1de
backports.zstd,1.3.0,py310h69bd2ac_0,https://conda.anaconda.org/conda-forge/linux-64/backports.zstd-1.3.0-py310h69bd2ac_0.conda,6660be15a45175c98f750b8bbc3fd07e0da36043624b376de49769bd14a0a16f,276a3ddf300498921601822e3b407088
biopython,1.87,py310h7c4b9e2_0,https://conda.anaconda.org/conda-forge/linux-64/biopython-1.87-py310h7c4b9e2_0.conda,fb2543dbaafa07344ebec83a4bc0c401aa5c623bd6498ed19ee1368656d93c45,d1810e238ff0c556a7fc798a6b54b74d
brotli,1.2.0,hed03a55_1,https://conda.anaconda.org/conda-forge/linux-64/brotli-1.2.0-hed03a55_1.conda,e511644d691f05eb12ebe1e971fd6dc3ae55a4df5c253b4e1788b789bdf2dfa6,8ccf913aaba749a5496c17629d859ed1
brotli-bin,1.2.0,hb03c661_1,https://conda.anaconda.org/conda-forge/linux-64/brotli-bin-1.2.0-hb03c661_1.conda,64b137f30b83b1dd61db6c946ae7511657eead59fdf74e84ef0ded219605aa94,af39b9a8711d4a8d437b52c1d78eb6a1
brotli-python,1.2.0,py310hba01987_1,https://conda.anaconda.org/conda-forge/linux-64/brotli-python-1.2.0-py310hba01987_1.conda,f036fe554d902549f86689a9650a0996901d5c9242b0a1e3fbfe6dbccd2ae011,393fca4557fbd2c4d995dcb89f569048
bzip2,1.0.8,hda65f42_9,https://conda.anaconda.org/conda-forge/linux-64/bzip2-1.0.8-hda65f42_9.conda,0b75d45f0bba3e95dc693336fa51f40ea28c980131fec438afb7ce6118ed05f6,d2ffd7602c02f2b316fd921d39876885
ca-certificates,2026.2.25,hbd8a1cb_0,https://conda.anaconda.org/conda-forge/noarch/ca-certificates-2026.2.25-hbd8a1cb_0.conda,67cc7101b36421c5913a1687ef1b99f85b5d6868da3abbf6ec1a4181e79782fc,4492fd26db29495f0ba23f146cd5638d
cairo,1.18.4,h3394656_0,https://conda.anaconda.org/conda-forge/linux-64/cairo-1.18.4-h3394656_0.conda,3bd6a391ad60e471de76c0e9db34986c4b5058587fbf2efa5a7f54645e28c2c7,09262e66b19567aff4f592fb53b28760
certifi,2026.2.25,pyhd8ed1ab_0,https://conda.anaconda.org/conda-forge/noarch/certifi-2026.2.25-pyhd8ed1ab_0.conda,a6b118fd1ed6099dc4fc03f9c492b88882a780fadaef4ed4f93dc70757713656,765c4d97e877cdbbb88ff33152b86125
charset-normalizer,3.4.7,pyhd8ed1ab_0,https://conda.anaconda.org/conda-forge/noarch/charset-normalizer-3.4.7-pyhd8ed1ab_0.conda,3f9483d62ce24ecd063f8a5a714448445dc8d9e201147c46699fc0033e824457,a9167b9571f3baa9d448faa2139d1089
contourpy,1.3.2,py310h3788b33_0,https://conda.anaconda.org/conda-forge/linux-64/contourpy-1.3.2-py310h3788b33_0.conda,5231c1b68e01a9bc9debabc077a6fb48c4395206d59f40a4598d1d5e353e11d8,b6420d29123c7c823de168f49ccdfe6a
cycler,0.12.1,pyhcf101f3_2,https://conda.anaconda.org/conda-forge/noarch/cycler-0.12.1-pyhcf101f3_2.conda,bb47aec5338695ff8efbddbc669064a3b10fe34ad881fb8ad5d64fbfa6910ed1,4c2a8fef270f6c69591889b93f9f55c1
cyrus-sasl,2.1.28,hd9c7081_0,https://conda.anaconda.org/conda-forge/linux-64/cyrus-sasl-2.1.28-hd9c7081_0.conda,ee09ad7610c12c7008262d713416d0b58bf365bc38584dce48950025850bdf3f,cae723309a49399d2949362f4ab5c9e4
font-ttf-dejavu-sans-mono,2.37,hab24e00_0,https://conda.anaconda.org/conda-forge/noarch/font-ttf-dejavu-sans-mono-2.37-hab24e00_0.tar.bz2,58d7f40d2940dd0a8aa28651239adbf5613254df0f75789919c4e6762054403b,0c96522c6bdaed4b1566d11387caaf45
font-ttf-inconsolata,3.000,h77eed37_0,https://conda.anaconda.org/conda-forge/noarch/font-ttf-inconsolata-3.000-h77eed37_0.tar.bz2,c52a29fdac682c20d252facc50f01e7c2e7ceac52aa9817aaf0bb83f7559ec5c,34893075a5c9e55cdafac56607368fc6
font-ttf-source-code-pro,2.038,h77eed37_0,https://conda.anaconda.org/conda-forge/noarch/font-ttf-source-code-pro-2.038-h77eed37_0.tar.bz2,00925c8c055a2275614b4d983e1df637245e19058d79fc7dd1a93b8d9fb4b139,4d59c254e01d9cde7957100457e2d5fb
font-ttf-ubuntu,0.83,h77eed37_3,https://conda.anaconda.org/conda-forge/noarch/font-ttf-ubuntu-0.83-h77eed37_3.conda,2821ec1dc454bd8b9a31d0ed22a7ce22422c0aef163c59f49dfdf915d0f0ca14,49023d73832ef61042f6a237cb2687e7
fontconfig,2.17.1,h27c8c51_0,https://conda.anaconda.org/conda-forge/linux-64/fontconfig-2.17.1-h27c8c51_0.conda,aa4a44dba97151221100a637c7f4bde619567afade9c0265f8e1c8eed8d7bd8c,867127763fbe935bab59815b6e0b7b5c
fonts-conda-ecosystem,1,0,https://conda.anaconda.org/conda-forge/noarch/fonts-conda-ecosystem-1-0.tar.bz2,a997f2f1921bb9c9d76e6fa2f6b408b7fa549edd349a77639c9fe7a23ea93e61,fee5683a3f04bd15cbd8318b096a27ab
fonts-conda-forge,1,hc364b38_1,https://conda.anaconda.org/conda-forge/noarch/fonts-conda-forge-1-hc364b38_1.conda,54eea8469786bc2291cc40bca5f46438d3e062a399e8f53f013b6a9f50e98333,a7970cd949a077b7cb9696379d338681
fonttools,4.62.0,py310h3406613_0,https://conda.anaconda.org/conda-forge/linux-64/fonttools-4.62.0-py310h3406613_0.conda,19bd6f1137310e8a23d6b341d325d24aaf89a5234b831fbb26759b7b0168a2c1,5ec9c93a61d857c8bdefdcebd49a5ef8
freetype,2.14.3,ha770c72_0,https://conda.anaconda.org/conda-forge/linux-64/freetype-2.14.3-ha770c72_0.conda,c934c385889c7836f034039b43b05ccfa98f53c900db03d8411189892ced090b,8462b5322567212beeb025f3519fb3e2
freetype-py,2.3.0,pyhd8ed1ab_0,https://conda.anaconda.org/conda-forge/noarch/freetype-py-2.3.0-pyhd8ed1ab_0.tar.bz2,bfa5ddb943992643a2ee2e258507beac2bdb17825e74d05f1bb0b79bb2c924fc,e4a165cdbbaed5bbb6e653b823156151
gemmi,0.7.5,py310hba69e1a_0,https://conda.anaconda.org/conda-forge/linux-64/gemmi-0.7.5-py310hba69e1a_0.conda,2654a3791500345fb9160a3e548b10fd7cbf78b028f2a9a5ae825fdecbdb58a1,8893203b0cfe47431b65e8525ae82a1c
greenlet,3.4.0,py310h25320af_0,https://conda.anaconda.org/conda-forge/linux-64/greenlet-3.4.0-py310h25320af_0.conda,1e64dbd1888d923401c286031fb6e812743a35e28e3446a02e202d2320607ce2,dd6e04f2a37c92255b77b70f86c1f06c
h2,4.3.0,pyhcf101f3_0,https://conda.anaconda.org/conda-forge/noarch/h2-4.3.0-pyhcf101f3_0.conda,84c64443368f84b600bfecc529a1194a3b14c3656ee2e832d15a20e0329b6da3,164fc43f0b53b6e3a7bc7dce5e4f1dc9
hpack,4.1.0,pyhd8ed1ab_0,https://conda.anaconda.org/conda-forge/noarch/hpack-4.1.0-pyhd8ed1ab_0.conda,6ad78a180576c706aabeb5b4c8ceb97c0cb25f1e112d76495bff23e3779948ba,0a802cb9888dd14eeefc611f05c40b6e
hyperframe,6.1.0,pyhd8ed1ab_0,https://conda.anaconda.org/conda-forge/noarch/hyperframe-6.1.0-pyhd8ed1ab_0.conda,77af6f5fe8b62ca07d09ac60127a30d9069fdc3c68d6b256754d0ffb1f7779f8,8e6923fc12f1fe8f8c4e5c9f343256ac
icu,75.1,he02047a_0,https://conda.anaconda.org/conda-forge/linux-64/icu-75.1-he02047a_0.conda,71e750d509f5fa3421087ba88ef9a7b9be11c53174af3aa4d06aff4c18b38e8e,8b189310083baabfb622af68fd9d3ae3
idna,3.11,pyhd8ed1ab_0,https://conda.anaconda.org/conda-forge/noarch/idna-3.11-pyhd8ed1ab_0.conda,ae89d0299ada2a3162c2614a9d26557a92aa6a77120ce142f8e0109bbf0342b0,53abe63df7e10a6ba605dc5f9f961d36
keyutils,1.6.3,hb9d3cd8_0,https://conda.anaconda.org/conda-forge/linux-64/keyutils-1.6.3-hb9d3cd8_0.conda,0960d06048a7185d3542d850986d807c6e37ca2e644342dd0c72feefcf26c2a4,b38117a3c920364aff79f870c984b4a3
kiwisolver,1.5.0,py310haaf941d_0,https://conda.anaconda.org/conda-forge/linux-64/kiwisolver-1.5.0-py310haaf941d_0.conda,44312f8b881a4c77af4be198c8e2e2022e406f58314191c31be8e172382ecdf7,8993ab7e5dce89147288dd78686e790c
krb5,1.21.3,h659f571_0,https://conda.anaconda.org/conda-forge/linux-64/krb5-1.21.3-h659f571_0.conda,99df692f7a8a5c27cd14b5fb1374ee55e756631b9c3d659ed3ee60830249b238,3f43953b7d3fb3aaa1d0d0723d91e368
lcms2,2.18,h0c24ade_0,https://conda.anaconda.org/conda-forge/linux-64/lcms2-2.18-h0c24ade_0.conda,836ec4b895352110335b9fdcfa83a8dcdbe6c5fb7c06c4929130600caea91c0a,6f2e2c8f58160147c4d1c6f4c14cbac4
ld_impl_linux-64,2.45.1,default_hbd61a6d_102,https://conda.anaconda.org/conda-forge/linux-64/ld_impl_linux-64-2.45.1-default_hbd61a6d_102.conda,3d584956604909ff5df353767f3a2a2f60e07d070b328d109f30ac40cd62df6c,18335a698559cdbcd86150a48bf54ba6
lerc,4.1.0,hdb68285_0,https://conda.anaconda.org/conda-forge/linux-64/lerc-4.1.0-hdb68285_0.conda,f84cb54782f7e9cea95e810ea8fef186e0652d0fa73d3009914fa2c1262594e1,a752488c68f2e7c456bcbd8f16eec275
libblas,3.11.0,6_h4a7cf45_openblas,https://conda.anaconda.org/conda-forge/linux-64/libblas-3.11.0-6_h4a7cf45_openblas.conda,7bfe936dbb5db04820cf300a9cc1f5ee8d5302fc896c2d66e30f1ee2f20fbfd6,6d6d225559bfa6e2f3c90ee9c03d4e2e
libboost,1.86.0,hed09d94_4,https://conda.anaconda.org/conda-forge/linux-64/libboost-1.86.0-hed09d94_4.conda,2e9778d8c3bbc6e7698fd87a1499a68ca1f02be37f6aaefa7541eb2728ffbff3,b708abf3b6a0f3cf2f833d2edf18aff0
libboost-python,1.86.0,py310hc563356_5,https://conda.anaconda.org/conda-forge/linux-64/libboost-python-1.86.0-py310hc563356_5.conda,4a308fc157256daa086bf5f5bbb09cb9968c0faed5a06d67fea6ac54315f0603,89e28e4ca1d96cf4dfe9e0ce85a7299e
