source_table,case,trajectory_id,protein_id,pet_length,analysis_direction,master_direction,replica_id
candidate_case_contact_values.csv,Pro00057_PET_L10_bidirectional_r02,Pro00057__PET_L10__bidirectional__r2,Pro00057,10,bidirectional,bidirectional,2
candidate_case_contact_values.csv,Pro00057_PET_L10_bidirectional_r03,Pro00057__PET_L10__bidirectional__r3,Pro00057,10,bidirectional,bidirectional,3
candidate_case_contact_values.csv,Pro00057_PET_L10_head_side_r02,Pro00057__PET_L10__head-side__r2,Pro00057,10,head-side,head-side,2
candidate_case_contact_values.csv,Pro00057_PET_L10_head_side_r03,Pro00057__PET_L10__head-side__r3,Pro00057,10,head-side,head-side,3
candidate_case_contact_values.csv,Pro00057_PET_L10_tail_side_r02,Pro00057__PET_L10__tail-side__r2,Pro00057,10,tail-side,tail-side,2
candidate_case_contact_values.csv,Pro00057_PET_L10_tail_side_r03,Pro00057__PET_L10__tail-side__r3,Pro00057,10,tail-side,tail-side,3
candidate_case_contact_values.csv,Pro00057_PET_L20_bidirectional_r01,Pro00057__PET_L20__bidirectional__r1,Pro00057,20,bidirectional,bidirectional,1
candidate_case_contact_values.csv,Pro00057_PET_L20_bidirectional_r02,Pro00057__PET_L20__bidirectional__r2,Pro00057,20,bidirectional,bidirectional,2
candidate_case_contact_values.csv,Pro00057_PET_L20_head_side_r01,Pro00057__PET_L20__head-side__r1,Pro00057,20,head-side,head-side,1
candidate_case_contact_values.csv,Pro00057_PET_L20_head_side_r02,Pro00057__PET_L20__head-side__r2,Pro00057,20,head-side,head-side,2
candidate_case_contact_values.csv,Pro00057_PET_L20_head_side_r03,Pro00057__PET_L20__head-side__r3,Pro00057,20,head-side,head-side,3
candidate_case_contact_values.csv,Pro00057_PET_L20_tail_side_r02,Pro00057__PET_L20__tail-side__r2,Pro00057,20,tail-side,tail-side,2
candidate_case_contact_values.csv,Pro00062_PET_L10_bidirectional_r01,Pro00062__PET_L10__bidirectional__r1,Pro00062,10,bidirectional,bidirectional,1
candidate_case_contact_values.csv,Pro00062_PET_L10_bidirectional_r03,Pro00062__PET_L10__bidirectional__r3,Pro00062,10,bidirectional,bidirectional,3
candidate_case_contact_values.csv,Pro00062_PET_L10_head_side_r02,Pro00062__PET_L10__head-side__r2,Pro00062,10,head-side,head-side,2
candidate_case_contact_values.csv,Pro00062_PET_L20_bidirectional_r01,Pro00062__PET_L20__bidirectional__r1,Pro00062,20,bidirectional,bidirectional,1
candidate_case_contact_values.csv,Pro00062_PET_L20_bidirectional_r02,Pro00062__PET_L20__bidirectional__r2,Pro00062,20,bidirectional,bidirectional,2
candidate_case_contact_values.csv,Pro00062_PET_L20_head_side_r01,Pro00062__PET_L20__head-side__r1,Pro00062,20,head-side,head-side,1
candidate_case_contact_values.csv,Pro00062_PET_L20_head_side_r02,Pro00062__PET_L20__head-side__r2,Pro00062,20,head-side,head-side,2
candidate_case_contact_values.csv,Pro00062_PET_L20_head_side_r03,Pro00062__PET_L20__head-side__r3,Pro00062,20,head-side,head-side,3
candidate_case_contact_values.csv,Pro00062_PET_L20_tail_side_r01,Pro00062__PET_L20__tail-side__r1,Pro00062,20,tail-side,tail-side,1
candidate_case_contact_values.csv,Pro00062_PET_L20_tail_side_r02,Pro00062__PET_L20__tail-side__r2,Pro00062,20,tail-side,tail-side,2
candidate_case_contact_values.csv,Pro00062_PET_L20_tail_side_r03,Pro00062__PET_L20__tail-side__r3,Pro00062,20,tail-side,tail-side,3
candidate_case_contact_values.csv,Pro00075_PET_L10_bidirectional_r01,Pro00075__PET_L10__bidirectional__r1,Pro00075,10,bidirectional,bidirectional,1
candidate_case_contact_values.csv,Pro00075_PET_L10_head_side_r01,Pro00075__PET_L10__head-side__r1,Pro00075,10,head-side,head-side,1
candidate_case_contact_values.csv,Pro00075_PET_L10_head_side_r02,Pro00075__PET_L10__head-side__r2,Pro00075,10,head-side,head-side,2
candidate_case_contact_values.csv,Pro00075_PET_L10_head_side_r03,Pro00075__PET_L10__head-side__r3,Pro00075,10,head-side,head-side,3
candidate_case_contact_values.csv,Pro00075_PET_L10_tail_side_r02,Pro00075__PET_L10__tail-side__r2,Pro00075,10,tail-side,tail-side,2
candidate_case_contact_values.csv,Pro00075_PET_L20_bidirectional_r01,Pro00075__PET_L20__bidirectional__r1,Pro00075,20,bidirectional,bidirectional,1
candidate_case_contact_values.csv,Pro00075_PET_L20_head_side_r01,Pro00075__PET_L20__head-side__r1,Pro00075,20,head-side,head-side,1
candidate_case_contact_values.csv,Pro00075_PET_L20_head_side_r02,Pro00075__PET_L20__head-side__r2,Pro00075,20,head-side,head-side,2
candidate_case_contact_values.csv,Pro00075_PET_L20_head_side_r03,Pro00075__PET_L20__head-side__r3,Pro00075,20,head-side,head-side,3
candidate_case_contact_values.csv,Pro00075_PET_L20_tail_side_r01,Pro00075__PET_L20__tail-side__r1,Pro00075,20,tail-side,tail-side,1
candidate_case_contact_values.csv,Pro00075_PET_L20_tail_side_r02,Pro00075__PET_L20__tail-side__r2,Pro00075,20,tail-side,tail-side,2
candidate_case_contact_values.csv,Pro00075_PET_L20_tail_side_r03,Pro00075__PET_L20__tail-side__r3,Pro00075,20,tail-side,tail-side,3
candidate_case_contact_values.csv,Pro00083_PET_L10_bidirectional_r01,Pro00083__PET_L10__bidirectional__r1,Pro00083,10,bidirectional,bidirectional,1
candidate_case_contact_values.csv,Pro00083_PET_L10_head_side_r02,Pro00083__PET_L10__head-side__r2,Pro00083,10,head-side,head-side,2
candidate_case_contact_values.csv,Pro00083_PET_L10_head_side_r03,Pro00083__PET_L10__head-side__r3,Pro00083,10,head-side,head-side,3
candidate_case_contact_values.csv,Pro00083_PET_L10_tail_side_r03,Pro00083__PET_L10__tail-side__r3,Pro00083,10,tail-side,tail-side,3
candidate_case_contact_values.csv,Pro00083_PET_L20_bidirectional_r01,Pro00083__PET_L20__bidirectional__r1,Pro00083,20,bidirectional,bidirectional,1
