trajectory_id,enzyme,protein_id,pet_length,direction,replica_id,run_id,planned_production_ns,final_logged_step,final_logged_time_ns,log_finished_mdrun,time_check_scope,retention_fraction,retention_class,analysis_window_ns,production_gate_verdict,stability_verdict,pbc_verdict,clash_verdict,nvt_gen_seed,gromacs_version_registry,gromacs_version_log,case_manifest_provenance
Pro00057__PET_L4__single__r1,TfCut1,Pro00057,4,single,1,pro00057_petl4_local_binding002_20260527T061210Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.1535,detached,20-100,PRODUCTION_FAIL,PASS,PASS,PASS,47749881,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L4__single__r2,TfCut1,Pro00057,4,single,2,pro00057_petl4_local_binding002_20260527T061210Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.8310,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,2131006503,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L4__single__r3,TfCut1,Pro00057,4,single,3,pro00057_petl4_local_binding002_20260527T061210Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.9766,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,669919400,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L10__bidirectional__r1,TfCut1,Pro00057,10,bidirectional,1,pro00057_petl10_h200x32_binding002_20260529T234511Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.1610,detached,20-100,PRODUCTION_FAIL,PASS,PASS,PASS,1914399130,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L10__bidirectional__r2,TfCut1,Pro00057,10,bidirectional,2,pro00057_petl10_h200x32_binding002_20260529T234511Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,402043463,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L10__bidirectional__r3,TfCut1,Pro00057,10,bidirectional,3,pro00057_petl10_h200x32_binding002_20260529T234511Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,335157287,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L10__head-side__r1,TfCut1,Pro00057,10,head-side,1,pro00057_petl10_h200x32_binding002_20260529T234511Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.4117,detached,20-100,PRODUCTION_FAIL,PASS,PASS,PASS,2079099207,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L10__head-side__r2,TfCut1,Pro00057,10,head-side,2,pro00057_petl10_h200x32_binding002_20260529T234511Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,1618629676,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L10__head-side__r3,TfCut1,Pro00057,10,head-side,3,pro00057_petl10_h200x32_binding002_20260529T234511Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,715168362,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L10__tail-side__r1,TfCut1,Pro00057,10,tail-side,1,pro00057_petl10_h200x32_binding002_20260529T234511Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.6273,partial,20-100,PRODUCTION_WARN,PASS,PASS,PASS,1452239964,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L10__tail-side__r2,TfCut1,Pro00057,10,tail-side,2,pro00057_petl10_h200x32_binding002_20260529T234511Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,195032526,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L10__tail-side__r3,TfCut1,Pro00057,10,tail-side,3,pro00057_petl10_h200x32_binding002_20260529T234511Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,1373108307,2025.4,2025.4,current_source_fallback_not_historical_copy
Pro00057__PET_L20__bidirectional__r1,TfCut1,Pro00057,20,bidirectional,1,pro00057_petl20_parallel64_from_l4_20260527T233152Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_PASS,PASS,PASS,PASS,161047810,2025.4,2025.4,current_source_fallback_not_historical_copy
