protein_id,protein,metric,n_l10,n_l20,mean_l10_nm,mean_l20_nm,length_balanced_mean_nm,bootstrap_ci_low_nm,bootstrap_ci_high_nm,stability_verdict
Pro00083,IsPETase,wloop_mean_rmsf_nm,4,7,0.26675454545454547,0.23292987012987013,0.24984220779220778,0.2036148538961039,0.3008134699675324,WARN
Pro00062,LCC,wloop_mean_rmsf_nm,3,8,0.327130303030303,0.23725909090909092,0.28219469696969696,0.18050561553030303,0.3768969176136362,WARN
Pro00057,TfCut1,wloop_mean_rmsf_nm,6,6,0.04458939393939395,0.04513484848484848,0.044862121212121214,0.04334013257575757,0.04653789772727273,PASS
Pro00137,PHL7,wloop_mean_rmsf_nm,3,2,0.05085151515151515,0.05548181818181818,0.05316666666666667,0.05131060606060606,0.05502272727272728,PASS
Pro00075,FoCut5a,wloop_mean_rmsf_nm,5,7,0.11474909090909091,0.12971688311688315,0.12223298701298703,0.10798147077922078,0.1368074123376623,WARN
Pro00121,HiC,wloop_mean_rmsf_nm,5,8,0.07280363636363636,0.07136363636363635,0.07208363636363635,0.0667259715909091,0.07888932670454545,PASS
Pro00083,IsPETase,marker_rmsf_nm,4,7,0.25135,0.2219857142857143,0.23666785714285715,0.1928035714285714,0.285033482142857,WARN
Pro00062,LCC,marker_rmsf_nm,3,8,0.33716666666666667,0.23178749999999998,0.2844770833333333,0.17224911458333333,0.3872089583333333,WARN
Pro00057,TfCut1,marker_rmsf_nm,6,6,0.03540000000000001,0.036583333333333336,0.03599166666666667,0.034633333333333335,0.03735,PASS
Pro00137,PHL7,marker_rmsf_nm,3,2,0.040633333333333334,0.04355,0.042091666666666666,0.040925,0.04305,PASS
Pro00075,FoCut5a,marker_rmsf_nm,5,7,0.08382,0.09001428571428573,0.08691714285714286,0.07936714285714286,0.09417435714285714,WARN
Pro00121,HiC,marker_rmsf_nm,5,8,0.05678,0.051,0.05388999999999999,0.047546187499999996,0.06072506249999999,PASS
