reference_protein_id,reference_protein,target_protein_id,target_protein,coordinate_source,ce_aligned_ca,ce_rms_angstrom,ce_z_score,catalytic_triad_ca_rms_angstrom
Pro00121,HiC,Pro00075,FoCut5a,production,192,1.2101391553878784,5.19,0.05167204448846943
Pro00121,HiC,Pro00075,FoCut5a,experimental,184,0.7178633809089661,5.04,0.1029676648225991
Pro00121,HiC,Pro00083,IsPETase,production,160,4.645806789398193,6.11,0.1705898553485111
Pro00121,HiC,Pro00083,IsPETase,experimental,152,4.296302318572998,6.35,0.28752583304661894
Pro00121,HiC,Pro00057,TfCut1,production,160,4.742258071899414,6.23,0.19222960965034439
Pro00121,HiC,Pro00057,TfCut1,experimental,160,4.823607444763184,6.35,0.316057376256669
Pro00121,HiC,Pro00062,LCC,production,160,4.502584457397461,6.11,0.15653645588411694
Pro00121,HiC,Pro00062,LCC,experimental,160,4.610283374786377,6.23,0.19825693423886598
Pro00121,HiC,Pro00137,PHL7,production,160,4.704510688781738,6.11,0.2682844428934339
Pro00121,HiC,Pro00137,PHL7,experimental,160,4.7907633781433105,6.11,0.2260335140099288
